Rusty Bellies,Tarpon Springs,4.5,1421,1,u'free',1
Rockfire Grill,Goleta,4.5,1246,1,u'free',1
Conch Republic Grill,North Redington Bch,4,1175,1,'free',1
Sparks Coffee Shop,Sparks,4.5,807,1,'free',1
The Couch Tomato Bistro,Manayunk,4.5,681,1,u'free',1
Summerland Beach Cafe,Summerland,4,663,1,u'free',1
Craft Street Kitchen Trinity,Trinity,4.5,644,1,u'free',1
Capital Tacos,Land O' Lakes,4.5,611,1,u'free',1
Fred's Market,Riverview,4.5,606,1,u'free',1
The Library,St Petersburg,4.5,585,1,u'free',1
BEAST Craft BBQ,Belleville,4.5,583,1,u'free',1
Sweet Sage Cafe & Boutique,North Redington Beach,4.5,581,1,u'free',1
Harvest Oro Valley,Oro Valley,4,562,1,u'free',1
Grounds For Sculpture,Hamilton,4.5,528,1,u'free',1
Da Sesto Italiano Ristorante e Vino,Pinellas Park,4.5,523,1,u'free',1
